ID,differ,badweek,综合得分
S180,-0.0375,9,0.558152728
S181,-2.266666667,47,0.766021365
S182,-0.191666667,22,0.629544199
S183,-36.525,70,0.876772381
S184,-2.141666667,31,0.678125303
S185,-1.808333333,63,0.85418445
S186,-9.191666667,28,0.65840691
S187,-0.358333333,61,0.84385403
S188,0.0375,3,0.525204578
S189,0.8125,23,0.635500938
S190,-0.1125,18,0.607592117
S191,-18.02083333,33,0.68185074
S192,-3.325,56,0.815010632
S193,0.070833333,6,0.541711077
S194,-0.0625,13,0.580129604
S195,-6.133333333,27,0.654309788
S196,-0.079166667,28,0.662578176
S197,-0.970833333,19,0.612696293
S198,-1.7125,74,0.914696199
S199,-5.866666667,21,0.621449375
S200,-3.766666667,49,0.776328897
S201,-1111.291667,23,0.126483918
S202,-3.133333333,17,0.600712244
S203,0.008333333,5,0.536185388
S204,-0.158333333,23,0.635056537
S205,-1.191666667,50,0.783004689
S206,0.033333333,1,0.514208511
S207,-1.675,54,0.804771763
S208,-25.54583333,59,0.821330237
S209,-0.466666667,44,0.750354079
S210,-78.7875,47,0.730993788
S211,-1.0875,10,0.563169168
S212,-3.975,62,0.847695573
S213,0.245833333,7,0.547288264
S214,-2.045833333,51,0.788110772
S215,-4.6625,66,0.869369189
S216,0.183333333,42,0.739657458
S217,-0.225,27,0.657014341
S218,3.095833333,17,0.603563658
S219,-1.2625,12,0.574083221
S220,-2.304166667,38,0.716530479
S221,0.404166667,3,0.525372421
S222,-4.941666667,24,0.638364036
S223,-0.9,23,0.634717038
S224,-0.775,24,0.640271337
S225,0.016666667,3,0.525195042
S226,-0.204166667,33,0.690006358
S227,-0.758333333,12,0.574314005
S228,-15.4375,44,0.743501147
S229,-20.825,13,0.570625525
S230,-6.391666667,11,0.566238254
S231,-17.39583333,67,0.869037558
S232,-0.079166667,17,0.602110295
S233,-0.175,37,0.712008029
S234,-14.87083333,73,0.903175863
S235,-0.495833333,9,0.557942924
S236,-0.016666667,10,0.563659344
S237,0.3125,7,0.547318781
S238,-5.425,53,0.797558112
S239,-0.391666667,2,0.519511046
S240,-0.2125,59,0.832926626
S241,-2.675,48,0.77133153
S242,-2.179166667,40,0.727581858
S243,-0.279166667,67,0.876872749
S244,-2.479166667,31,0.677970811
S245,-0.791666667,32,0.684240348
S246,-56.5125,59,0.807155178
S247,2.908333333,13,0.58148951
S248,-1.866666667,59,0.832169427
S249,-1.241666667,33,0.68953144
S250,-2.583333333,8,0.551490287
S251,-8.545833333,49,0.774141223
S252,-5.958333333,40,0.725851936
S253,0.1875,5,0.536267401
S254,0.033333333,21,0.624150113
S255,-0.05,20,0.618614887
S256,0.154166667,19,0.613211264
S257,-0.495833333,41,0.733849487
S258,-0.841666667,35,0.700708701
S259,-0.379166667,26,0.65144669
S260,-1.645833333,36,0.705837672
S261,-5.125,38,0.715239236
S262,-3.375,46,0.760016943
S263,-0.1875,32,0.684516907
S264,0.0125,5,0.536187295
S265,-1.820833333,32,0.683769245
S266,3.745833333,31,0.680820319
S267,-2.595833333,41,0.732888208
S268,1.733333333,15,0.591945811
S269,-2.6125,24,0.639430217
S270,0.004166667,9,0.558171801
S271,-0.308333333,18,0.607502474
S272,-1.233333333,4,0.530119932
S273,-5.266666667,16,0.594238626
S274,-0.425,20,0.61844323
S275,1.679166667,13,0.580926856
S276,-2.825,63,0.853719068
S277,-6.9125,70,0.890327567
S278,-1.5375,65,0.865302584
S279,-0.8125,15,0.59078045
S280,-3.083333333,61,0.842606656
S281,-0.1375,36,0.706528115
S282,3.370833333,3,0.526730419
S283,-0.4125,62,0.849326315
S284,4.508333333,0,0.510808796
S285,-27.44583333,65,0.853442989
S286,0.029166667,11,0.569177405
S287,-3.216666667,54,0.804066061
S288,-0.066666667,22,0.629601418
S289,-4.808333333,44,0.748366671
S290,-12.3125,55,0.805399504
S291,-22.84166667,31,0.668649833
S292,-7.925,45,0.752437091
S293,-4.779166667,59,0.830836224
S294,2.545833333,29,0.669276856
S295,-4.9,34,0.69335391
S296,-0.020833333,19,0.613131158
S297,-20.24166667,62,0.840249471
S298,0.0125,4,0.530690215
S299,-4.441666667,89,0.995903118
S300,-0.358333333,4,0.530520465
S301,0.020833333,10,0.56367651
S302,-6.104166667,72,0.901691744
S303,0.004166667,5,0.53618348
S304,-0.775,17,0.601791776
S305,0.0125,5,0.536187295
S306,1.733333333,11,0.569957491
S307,-99.1125,5,0.490812611
S308,-205.3333333,20,0.524645995
S309,-4.583333333,11,0.567066023
S310,0.3125,27,0.657260382
S311,-0.504166667,55,0.810804794
S312,-0.233333333,30,0.673501766
S313,-2.645833333,37,0.710877
S314,-5.875,52,0.791855043
S315,-1.7,15,0.590374195
S316,-0.004166667,18,0.607641707
S317,-1.175,68,0.88195976
S318,0.195833333,12,0.574750777
S319,-5.720833333,47,0.764440213
S320,-1.220833333,48,0.771997178
S321,0.0125,10,0.563672695
S322,-0.491666667,39,0.722857235
S323,-5.625,14,0.583080438
S324,0.354166667,19,0.613302815
S325,-1.783333333,37,0.711271811
S326,-4.729166667,41,0.73191167
S327,-0.133333333,14,0.58559426
S328,-0.095833333,34,0.695553028
S329,0.7,14,0.58597572
S330,-151.3666667,21,0.554846434
S331,-0.625,36,0.706304961
S332,-0.329166667,5,0.536030896
S333,-5.629166667,48,0.769979254
S334,-8.6,67,0.87306387
S335,-49.675,37,0.689349297
S336,0.066666667,17,0.602177051
S337,0,9,0.558169893
S338,-33.59583333,12,0.559282568
S339,-2.204166667,30,0.672599613
S340,-2.391666667,14,0.584560503
S341,-5.720833333,39,0.720463572
S342,0.2,1,0.514284803
S343,-12.39166667,62,0.843842826
S344,-0.716666667,40,0.72825132
S345,-0.0625,20,0.618609165
S346,-6.125,31,0.676301923
S347,-0.104166667,45,0.756017094
S348,-311.2,16,0.454196979
S349,-0.025,15,0.59114093
S350,-4.975,58,0.825249501
S351,0.020833333,2,0.519699869
S352,-1.120833333,20,0.61812471
S353,0.0375,7,0.547192899
S354,-9.5125,47,0.762704569
S355,-3.829166667,20,0.616884965
S356,-9.604166667,12,0.570264805
S357,0.058333333,17,0.602173236
S358,0.020833333,5,0.536191109
S359,-0.4125,17,0.601957711
S360,-0.116666667,48,0.772502612
S361,-22.38333333,29,0.657865476
S362,0.045833333,1,0.514214233
S363,-0.166666667,30,0.673532283
S364,-1.1125,14,0.585146044
S365,2.795833333,12,0.575940932
S366,-0.058333333,14,0.585628592
S367,-5.4375,24,0.638137067
S368,-0.179166667,19,0.61305868
S369,-8.183333333,45,0.752318838
S370,-1.295833333,26,0.651027084
S371,-11.80833333,53,0.794636127
S372,-3.2,29,0.666646688
S373,-3.095833333,59,0.831606773
S374,2.545833333,1,0.515358613
S375,-1.608333333,53,0.799305199
S376,-1.629166667,29,0.667365741
S377,-0.058333333,29,0.668084793
S378,-0.7,38,0.717264789
S379,0.125,1,0.514250472
S380,-8.020833333,27,0.653445781
S381,-0.020833333,5,0.536172036
S382,-0.9,23,0.634717038
S383,0.0125,9,0.558175615
S384,-0.075,31,0.679071324
S385,-0.858333333,62,0.849122234
S386,0.0375,16,0.59666662
S387,-8.4,63,0.8511671
S388,-1.654166667,7,0.546418535
S389,-1.9,21,0.623265125
S390,-0.795833333,39,0.722718002
S391,-3.458333333,55,0.809452518
S392,0.308333333,21,0.624275995
S393,-0.1625,33,0.690025431
S394,-2.975,57,0.820667925
S395,-123.3041667,11,0.512721304
S396,-4.225,71,0.897054856
S397,-0.033333333,8,0.552657555
S398,-0.658333333,26,0.651318901
S399,-0.920833333,39,0.722660783
S400,-3.1375,60,0.837084781
S401,-0.554166667,42,0.739319865
S402,-3.845833333,69,0.88623426
